signal_date,vix_level,spy_return,spy_trend_3d,spy_trend_5d,spy_vol_5d,spy_vol_10d,trend_strength,shock_day,vix_mom_3d,vix_pctile_est
2025-07-30,15.479999542236328,-0.0012593310110431,-0.001382661056143,8.146447003666044e-05,0.0025752470802490757,0.003556500868166915,-0.5369021472641756,0,0.1833330790201829,0.18376068376068377
2025-07-31,16.719999313354492,-0.0037512265266995,-0.0025494020466082,-0.0007349719289907196,0.0030749805953542617,0.0035430193322826937,-0.8290763719602499,0,0.5633331934611002,0.4188034188034188
2025-08-01,20.3799991607666,-0.0163903695197614,-0.0071336423525013,-0.004857915842977999,0.006582653137031249,0.0064707080195543715,-1.0837015663721994,1,1.466666539510091,0.8076923076923077
2025-08-04,17.520000457763672,0.0151997136799502,-0.0016472941221702,-0.0017677723959271593,0.011254612586911116,0.008239555621924324,-0.1463660028978642,0,0.6800003051757812,0.5897435897435898
2025-08-05,17.850000381469727,-0.005069869050569,-0.0020868416301267,-0.0022542164856245595,0.011353735468628676,0.008421331998206652,-0.18380204452291213,0,0.3766670227050781,0.6196581196581197
2025-08-06,16.770000457763672,0.0076595814753868,0.0059298087015893,-0.00047043398833857935,0.012216929128083785,0.008328682029593786,0.4853759717897018,0,-1.2033329010009766,0.4423076923076923
2025-08-07,16.56999969482422,-0.0008376240775045,0.0005840294491044,0.00011228650150042044,0.012090149319982714,0.00832868858614762,0.04830618304087286,0,-0.3166669209798177,0.37606837606837606
2025-08-08,15.149999618530272,0.0077976708139688,0.0048732094039503,0.00494989456824646,0.007974993096469242,0.008616587436780199,0.6110605030495608,0,-0.9000002543131517,0.13247863247863248
2025-08-11,16.25,-0.0019775396473949,0.0016608356963564,0.0015144439027774403,0.005880497559092299,0.008640464131531233,0.28243067110566944,0,-0.17333348592122397,0.28205128205128205
2025-08-12,14.729999542236328,0.0106460176622822,0.0054887162762853,0.00465762124534768,0.005677932048585065,0.009213629022076262,0.9666735287749335,0,-0.6133333841959635,0.05982905982905983
2025-08-13,14.489999771118164,0.0034230516829947,0.0040305098992939,0.0038103152868692604,0.005428591190138199,0.009193620217992075,0.7424582794212025,0,-0.2199999491373692,0.0405982905982906
2025-08-14,14.829999923706056,9.315635788809118e-05,0.004720741901055,0.003996471373947779,0.005242114767992295,0.009020489895476226,0.9005397830053974,0,-0.4733333587646478,0.07692307692307693
2025-08-15,15.09000015258789,-0.0023412898567806,0.0003916393947007,0.0019686792397978986,0.005363708243871924,0.006597125941085498,0.07301639961199491,0,0.12000020345052083,0.11965811965811966
2025-08-18,14.989999771118164,-0.0002176314371911,-0.0008219216453612,0.002320660881838659,0.005090808383511624,0.0052026840370439555,-0.16145177129541244,0,0.16666666666666666,0.10683760683760683
2025-08-19,15.56999969482422,-0.0054251300666776,-0.0026613504535497,-0.0008935686639533015,0.00326705808112429,0.005256631757841906,-0.8145990188958212,0,0.24666659037272134,0.18803418803418803
2025-08-20,15.6899995803833,-0.0026569874257286,-0.0027665829765324,-0.0021095764856979616,0.002223608183714747,0.005002987320420452,-1.2441807666415927,0,0.19999980926513672,0.1987179487179487
2025-08-21,16.600000381469727,-0.0040119183617876,-0.0040313452847312,-0.0029305914296330997,0.0019477088053158921,0.005218065254865563,-2.0697778723132334,0,0.5366668701171875,0.3888888888888889
2025-08-22,14.220000267028809,0.0153566928516155,0.0028959290213664,0.0006090051120461206,0.008464751177845077,0.006719021910028866,0.3421158566110466,0,-0.44999980926513733,0.02564102564102564
2025-08-25,14.789999961853027,-0.004400871742317,0.0023146342491702,-0.0002276429489790596,0.008768176666681919,0.006891408816284803,0.26398095035607977,0,-0.2999998728434245,0.07264957264957266
2025-08-26,14.619999885559082,0.0041868443355399,0.0050475551482794,0.0016947519314644405,0.008389271474587966,0.006155058319795546,0.6016671586915978,0,-0.6600001653035482,0.05128205128205128
2025-08-27,14.850000381469728,0.0022786089065434,0.0006881938332554,0.0026818711979188408,0.008031978815969317,0.006103035633387198,0.08568162245036037,0,0.21000003814697324,0.08333333333333333
2025-08-28,14.43000030517578,0.0035413627321427,0.003335605324742,0.0041925274167049,0.007116393587550195,0.006187743839240797,0.46872065133819574,0,-0.11999988555908263,0.03418803418803419
2025-08-29,15.359999656677246,-0.0059636816039791,-4.790332176433469e-05,-7.15474744140198e-05,0.004747908729117442,0.006480196145597768,-0.010089330609338192,0,0.24666659037272134,0.15384615384615385
2025-09-02,17.170000076293945,-0.0074102955558742,-0.0032775381425702,-0.0006734322371254597,0.005555929212307315,0.00692414379869314,-0.5899161271077114,0,0.7733332316080723,0.5106837606837606
2025-09-03,16.350000381469727,0.0054195597134076,-0.0026514724821485,-0.0004268891615519197,0.005845334523245307,0.006907682104977641,-0.45360414114246517,0,0.6400000254313157,0.3141025641025641
2025-09-04,15.300000190734863,0.0083573604418145,0.0021222081997826,0.0007888611455023002,0.007055579706991432,0.0071967143155280125,0.3007839582394778,0,-0.01999982198079427,0.1452991452991453
2025-09-05,15.18000030517578,-0.0028961484885351,0.0036269238888957,-0.0004986410986332597,0.0070149757818907905,0.0071057834563122676,0.5170251233093894,0,-0.6633332570393886,0.13675213675213677
2025-09-08,15.109999656677246,0.0024565419087134,0.0026392512873309,0.0011854036039052403,0.006354642927874804,0.005329647801543696,0.41532579627657945,0,-0.41333357493082684,0.12393162393162394
2025-09-09,15.039999961853027,0.0023119206976098,0.0006241047059294,0.0031298468546020405,0.004183438953308359,0.00505129656817424,0.1491842527290419,0,-0.08666674296061198,0.11538461538461539
2025-09-10,15.350000381469728,0.0028908542790047,0.0025531056284426,0.00262410576772146,0.0039856024684119685,0.004983119014851268,0.6405805001558172,0,0.05666669209798295,0.14957264957264957
2025-09-11,14.710000038146973,0.0083102647317856,0.0045043465694667,0.0026146866257156804,0.003968685523893994,0.005481897237145305,1.1349690452058507,0,-0.1333332061767578,0.05555555555555555
2025-09-12,14.760000228881836,-0.000334706509845,0.0036221375003151,0.0031269750214537005,0.003163039612455749,0.0054744005239285316,1.145140906437734,0,-0.09333324432373047,0.06837606837606838
2025-09-15,15.6899995803833,0.005323952420932,0.0044331702142909,0.00370045712389742,0.0032692544595786786,0.004945163533641516,1.3560145620223756,0,0.11333306630452415,0.1987179487179487
2025-09-16,16.360000610351562,-0.0013767927852816,0.0012041510419351,0.002962714427319141,0.003996286109854315,0.0038579742772040554,0.30131677153898323,0,0.5500001907348633,0.3247863247863248
2025-09-17,15.720000267028809,-0.0012425285544682,0.0009015436937273,0.0021360378606245607,0.004419930559765739,0.003976022278921152,0.2039719044943633,0,0.32000001271565753,0.2094017094017094
2025-09-18,15.699999809265137,0.0046726323345223,0.0006844369982574,0.0014085113811719003,0.0033094525525198992,0.003503155890545317,0.206812129581661,0,0.003333409627278646,0.20512820512820512
2025-09-19,15.449999809265137,0.0049527813713408,0.0027942950504649,0.0024660089574090605,0.003454759047981314,0.0031420607007157154,0.8088225324635401,0,-0.3033336003621419,0.17735042735042736
2025-09-22,16.100000381469727,0.004731100453688,0.0047855047198503,0.0023474385639602603,0.003340432018214248,0.0031965726649018722,1.4325962533570817,0,0.1266667048136393,0.26495726495726496
2025-09-23,16.639999389648438,-0.0054435663888288,0.0014134384787333,0.0015340838432508204,0.004694573297874095,0.004178513130662191,0.301078581217925,0,0.3133331934611003,0.3995726495726496
2025-09-24,16.18000030517578,-0.0031816334526136,-0.0012980331292514,0.0011462628636217402,0.005048080363925365,0.004503390604335191,-0.2571334971591232,0,0.2433334986368815,0.2777777777777778
