window_start,window_end,return_metric,section,predicted_tier_cal,filteredtier,optionType,filter_stage,n_trades,wins,losses,breakeven,win_rate,avg_pnl,median_pnl,avg_return_pct,median_return_pct,worst_drawdown_proxy,profit_factor,tradeable_coverage,avg_win_pnl,median_win_pnl,avg_loss_pnl_abs,median_loss_pnl_abs,win_loss_ratio,avg_win_return_pct,median_win_return_pct,avg_loss_return_pct_abs,median_loss_return_pct_abs,p25_win_return_pct,p75_win_return_pct,p25_loss_return_pct_abs,p75_loss_return_pct_abs
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S5_final_plus_quant,B,A_prime,call,all_filters_plus_quant,581,438.0,129.0,14.0,0.7538726333907056,1656.027538726334,940.0,110.401835915089,62.66666666666667,-37.333333333333336,24.11143138526579,1.0,2291.74200913242,2555.5,322.72093023255815,262.0,7.101311983331705,152.782800608828,170.36666666666667,21.51472868217055,17.466666666666665,35.199999999999996,250.58333333333334,7.000000000000001,35.53333333333333
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S5_final_plus_quant,B,Dropped,call,all_filters_plus_quant,307,125.0,153.0,29.0,0.40716612377850164,446.5342019543974,0.0,29.768946796959835,0.0,-72.23333333333333,2.6551682503652367,1.0,1759.272,707.0,541.3267973856209,500.0,3.2499259384470496,117.2848,47.13333333333333,36.0884531590414,33.33333333333333,11.866666666666667,160.46666666666667,14.466666666666667,54.733333333333334
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S6_adaptive_tier,A,A,call,A,745,594.0,144.0,7.0,0.7973154362416107,1690.8872483221476,1663.0,129.3561521252796,126.93333333333334,-48.46666666666667,22.448095619157883,0.6026845637583893,2219.6026936026938,2158.5,407.86805555555554,338.5,5.441962574341305,170.57216610549943,167.93333333333334,34.37175925925926,28.06666666666667,81.16666666666666,242.76666666666665,13.216666666666665,49.03333333333334
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S6_adaptive_tier,A,Dropped,call,A,1600,774.0,814.0,12.0,0.48375,363.4675,-16.5,433.2872157635,-1.7666666666666668,-149.2533333333333,2.3762983824208073,0.455625,1297.2777777777778,896.0,519.0970515970516,467.5,2.499104500375371,1368.9818836146974,95.93333333333334,450.0398436070958,44.099999999999994,37.7,203.61666666666667,24.0,73.96666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S6_adaptive_tier,A,A,call,B,883,573.0,293.0,17.0,0.6489241223103058,918.1574178935448,320.0,71.81744054360131,26.13333333333333,-60.64,7.75413837630691,0.47678369195922987,1624.3769633507854,1027.0,409.67576791808875,335.0,3.965030618251178,128.05433391506682,83.6,33.99431171786123,27.0,29.333333333333332,203.33333333333331,14.399999999999999,48.4
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S6_adaptive_tier,A,Dropped,call,B,4319,2228.0,2024.0,67.0,0.5158601528131512,398.2280620514008,30.0,571.0693091215028,3.3333333333333335,-2176.2911582817983,2.872263091549955,0.3065524426950683,1184.2877019748653,785.5,453.87648221343875,355.0,2.6092731136881095,1640.8732000645748,108.3,587.6566915257418,46.800000000000004,39.33333333333333,287.60216606498193,22.316666666666666,94.66666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S6_adaptive_tier,A,A,call,C,49,32.0,15.0,2.0,0.6530612244897959,1062.061224489796,925.0,79.74421768707484,75.2,-58.14666666666666,7.427989130434782,0.5714285714285714,1879.28125,1509.0,539.7333333333333,430.0,3.481869904891304,140.58958333333334,139.06666666666666,39.426666666666655,31.266666666666666,75.75,199.7,26.73333333333333,48.333333333333336
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S6_adaptive_tier,A,Dropped,call,C,806,376.0,420.0,10.0,0.4665012406947891,128.212158808933,-29.5,297.9008018715697,-3.9333333333333336,-2503.6208031599735,1.4927263277849034,0.2630272952853598,832.6276595744681,525.5,499.3547619047619,398.0,1.6674070682703708,1267.376632437389,73.1,562.9180178285075,48.93333333333333,22.0,190.71666666666667,22.666666666666664,91.53333333333333
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S6_adaptive_tier,A,A,call,,222,36.0,184.0,2.0,0.16216216216216217,-549.3243243243244,-582.0,-38.76516516516517,-44.8,-150.72333333333333,0.1896148427739826,0.5225225225225225,792.6111111111111,363.5,817.8478260869565,656.5,0.969142529733689,73.94259259259259,27.633333333333333,61.23804347826088,50.03333333333333,14.966666666666667,121.61666666666667,36.4,71.4
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S6_adaptive_tier,A,Dropped,call,,1713,380.0,1290.0,43.0,0.22183304144775248,-305.1908931698774,-398.0,-152.14048805587197,-37.333333333333336,-195.54666666666665,0.3446791975080381,0.3666082895504962,723.6131578947368,412.0,618.422480620155,529.0,1.1700951704878133,462.26942980756417,42.63333333333334,338.20080571052955,48.1,15.933333333333334,102.48333333333332,31.216666666666665,71.98333333333333
